exercicio_smartfit,url,dataset_id,dataset_name,equipment,confianca
Supino Fechado,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/0030-J6Dx1Mu.jpg,0030,barbell close-grip bench press,barbell,A
Abdominal Máquina Hammer,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/0595-ZnJHhMk.jpg,0595,lever seated crunch (chest pad),leverage machine,A
Remada Polia Triângulo Sentada,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/0213-pwt0pnM.jpg,0213,cable seated high row (v-bar),cable,A
Remada Polia Barra Reta Fechada Sentada,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/0861-fUBheHs.jpg,0861,cable seated row,cable,B
Remada Polia Barra Reta Aberta Sentada,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/0239-Tq6gbK6.jpg,0239,cable straight back seated row,cable,B
Remada Polia Barra Reta Supinada Sentada,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/0208-PNtsX17.jpg,0208,cable reverse-grip straight back seated high row,cable,B
Gêmeos Sentado Unilateral,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/0400-Ia7tumC.jpg,0400,dumbbell seated one leg calf raise,dumbbell,B
Rosca Barra W Alta,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/0447-6TG6x2w.jpg,0447,ez barbell curl,ez barbell,B
Rolinho de Joelhos com TRX',https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/0805-X3TCNEU.jpg,0805,suspended abdominal fallout,body weight,A
Supino Freemotion,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/2144-nIR4Rwl.jpg,2144,cable seated chest press,cable,B
Supino Livre Declinado,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/0033-GrO65fd.jpg,0033,barbell decline bench press,barbell,A
Remada Freemotion,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/0234-4f8RXP8.jpg,0234,cable standing row (v-bar),cable,B
Abdominal Supra Freemotion,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/0226-jpgqxiS.jpg,0226,cable standing crunch,cable,B
Agachamento + Desenvolvimento Fechado Alternado com Halter,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/0550-yWxMvB5.jpg,0550,kettlebell thruster,kettlebell,C
Stiff + Remada Alta com Halter,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/1459-rR0LJzx.jpg,1459,dumbbell romanian deadlift,dumbbell,C
Rosca 45 no Step',https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/0318-ae9UoXQ.jpg,0318,dumbbell incline curl,dumbbell,A
Ondas Alternado Sentado,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/0128-RJa4tCo.jpg,0128,battling ropes,rope,B
Flexão do Joelho Deitado com Bola,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/1417-GOJKFfO.jpg,1417,exercise ball one legged diagonal kick hamstring curl,stability ball,B
Elevação Pélvica com Barra e Step',https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/1409-qKBpF7I.jpg,1409,barbell glute bridge,barbell,A
Flexão de joelho unilateral com caneleira,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/0795-C5jncD2.jpg,0795,standing single leg curl,body weight,B
Agachamento Hack Inclinado,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/0743-Qa55kX1.jpg,0743,sled hack squat,sled machine,A
Cadeira Extensora Articulada,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/0585-my33uHU.jpg,0585,lever leg extension,leverage machine,A
Agachamento com Cinto Articulado,,,,,-
Agachamento Pêndulo,,,,,-
Afundo Articulado,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/0768-wWFspEi.jpg,0768,smith single leg split squat,smith machine,C
Supino Reto Articulado,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/0577-T0yTjgW.jpg,0577,lever chest press,leverage machine,A
Remada Baixa Articulada,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/1350-7I6LNUG.jpg,1350,lever seated row,leverage machine,A
Supino Reto Deitado Articulado,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/0576-DOoWcnA.jpg,0576,lever chest press,leverage machine,B
Supino Inclinado Deitado Articulado,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/1299-jHAnWmT.jpg,1299,lever incline chest press,leverage machine,A
Desenvolvimento Articulado,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/0603-67n3r98.jpg,0603,lever shoulder press,leverage machine,A
Remada Cavalinho com Suporte,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/0606-aaXr7ld.jpg,0606,lever t bar row,leverage machine,A
Agachamento Unilateral Hack Inclinado,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/0743-Qa55kX1.jpg,0743,sled hack squat,sled machine,C
Cadeira Extensora Articulada Unilateral,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/0585-my33uHU.jpg,0585,lever leg extension,leverage machine,C
Agachamento Sumô com Cinto Articulado,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/3142-dzz6BiV.jpg,3142,smith sumo squat,smith machine,C
Agachamento Sissy,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/1489-xdYPUtE.jpg,1489,sissy squat,body weight,A
Supino Reto Articulado Unilateral,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/0577-T0yTjgW.jpg,0577,lever chest press,leverage machine,C
Remada Baixa Articulada Fechada,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/0588-IGjKj1v.jpg,0588,lever narrow grip seated row,leverage machine,A
Remada Baixa Articulada Fechada Unilateral,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/0571-w2oRpuH.jpg,0571,lever alternating narrow grip seated row,leverage machine,B
Remada Baixa Articulada Supinada,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/1348-ZqNOWQ6.jpg,1348,lever reverse grip vertical row,leverage machine,B
Remada Baixa Articulada Supinada Unilateral,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/images/1313-oROuvrX.jpg,1313,lever unilateral row,leverage machine,C
