exercicio_smartfit,url,dataset_id,dataset_name,equipment,confianca
Supino Fechado,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0030-J6Dx1Mu.gif,0030,barbell close-grip bench press,barbell,A
Abdominal Máquina Hammer,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0595-ZnJHhMk.gif,0595,lever seated crunch (chest pad),leverage machine,A
Remada Polia Triângulo Sentada,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0213-pwt0pnM.gif,0213,cable seated high row (v-bar),cable,A
Remada Polia Barra Reta Fechada Sentada,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0861-fUBheHs.gif,0861,cable seated row,cable,B
Remada Polia Barra Reta Aberta Sentada,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0239-Tq6gbK6.gif,0239,cable straight back seated row,cable,B
Remada Polia Barra Reta Supinada Sentada,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0208-PNtsX17.gif,0208,cable reverse-grip straight back seated high row,cable,B
Gêmeos Sentado Unilateral,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0400-Ia7tumC.gif,0400,dumbbell seated one leg calf raise,dumbbell,B
Rosca Barra W Alta,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0447-6TG6x2w.gif,0447,ez barbell curl,ez barbell,B
Rolinho de Joelhos com TRX',https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0805-X3TCNEU.gif,0805,suspended abdominal fallout,body weight,A
Supino Freemotion,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/2144-nIR4Rwl.gif,2144,cable seated chest press,cable,B
Supino Livre Declinado,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0033-GrO65fd.gif,0033,barbell decline bench press,barbell,A
Remada Freemotion,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0234-4f8RXP8.gif,0234,cable standing row (v-bar),cable,B
Abdominal Supra Freemotion,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0226-jpgqxiS.gif,0226,cable standing crunch,cable,B
Flexão de joelho unilateral com caneleira,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0795-C5jncD2.gif,0795,standing single leg curl,body weight,B
Agachamento Hack Inclinado,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0743-Qa55kX1.gif,0743,sled hack squat,sled machine,A
Cadeira Extensora Articulada,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0585-my33uHU.gif,0585,lever leg extension,leverage machine,A
Agachamento com Cinto Articulado,,,,,-
Agachamento Pêndulo,,,,,-
Afundo Articulado,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0768-wWFspEi.gif,0768,smith single leg split squat,smith machine,C
Supino Reto Articulado,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0577-T0yTjgW.gif,0577,lever chest press,leverage machine,A
